"";"";"";"";F;2012/06/29;""
"906FC";"06";"Malignancy of digestive system, demanding cytostatic therapy, short therapy";"Malign of digest syst, dem cytost ther, sh th";F;2006/01/17;"906C"
"906FD";"06";"Malignancy of digestive system, special demanding cytostatic therapy, short therapy";"Malign of digest syst, spec dem cytost ther, sh th";F;2006/01/17;"906D"
"906FG";"06";"Disease or disorder of digestive system, special medical therapy, short therapy";"Dis/disord of digest syst, spec medic ther";F;2006/01/17;"906FG"
"906FP";"06";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs, short therapy";"Dx proc of abd, retroperit and pelvis, sh th";F;2004/08/09;"906P"
"906FQ";"06";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs, short therapy";"Demand dx proc of abd, retroperit and pelvis, sh th";F;2004/08/09;"906Q"
"906NP";"06";"Other one day care for MDC 06";"Other one day care for MDC 06";F;2009/07/20;"906NP"
"906O";"06";"Disease or disorder of the digestive system, short therapy w/o significant procedure";"Disease or disorder of the digestive system, short therapy";T;2003/06/05;"906O"
"906V";"23";"Discussion and counceling, short therapy";"Discussion and counceling, short therapy";F;2007/09/05;"906O"
"907FA";"07";"Malignancy of hepatobiliary system, radiation therapy, short therapy";"Malign of hepatobil syst, rad ther, sh th";F;2006/01/17;"907A"
"907FB";"07";"Malignancy of hepatobiliary system, cytostatic therapy, short therapy";"Malign of hepatobil syst, cytost ther, sh th";F;2006/01/17;"907B"
"907FC";"07";"Malignancy of hepatobiliary system, demanding cytostatic therapy, short therapy";"Malign of hepatobil syst, dem cytost ther, sh th";F;2006/01/17;"907C"
"907FD";"07";"Malignancy of hepatobiliary system, special demanding cytostatic therapy, short therapy";"Malign of hepatobil syst, spec dem cytost ther, sh th";F;2006/01/17;"907D"
"907NP";"07";"Other one day care for MDC 07";"Other one day care for MDC 07";F;2009/07/20;"907NP"
"907O";"07";"Disease or disorder of the hepatobiliary system, short therapy w/o significant procedure";"Disease or disorder of the hepatobiliary system, short thera";T;2004/11/09;"907O"
"907V";"23";"Intravascular medication, short therapy";"Intravascular medication, short therapy";F;2007/09/05;"907O"
"908FA";"08";"Malignancy of musculosceletal system, radiation therapy, short therapy";"Malign of musculoscel syst, rad ther, sh th";F;2006/01/17;"908A"
"908FB";"08";"Malignancy of musculosceletal system, cytostatic therapy, short therapy";"Malign of musculoscel syst, cytostat ther, sh th";F;2006/01/17;"908B"
"908FC";"08";"Malignancy of musculosceletal system, demanding cytostatic therapy, short therapy";"Malign of musculoscel syst, dem cytostat ther, sh th";F;2006/01/17;"908C"
"908FD";"08";"Malignancy of musculosceletal system, special demanding cytostatic therapy, short therapy";"Malign of musculoscel syst, spec dem cytostat ther, sh th";F;2006/01/17;"908D"
"908FE";"08";"Disease or disorder of the musculosceletal system, special medical therapy, short therapy";"Dis/disord of musculoscel syst, spec med ther, sh th";F;2006/01/17;"908E"
"908FF";"08";"Disease or disorder of the musculosceletal system, demanding medical therapy, short therapy";"Dis/disord of musculoscel syst, dem med ther, sh th";F;2006/01/17;"908F"
"908FG";"08";"Disease or disorder of the musculosceletal system, special demanding medical therapy, short therapy";"Dis/disord of musculoscel syst, spec dem med ther, sh th";F;2006/01/17;"908G"
"908FP";"08";"Diagnostic procedure of musculosceletal system, short therapy";"Dx proc of musculosceletal system, short ther";F;2004/08/09;"908P"
"908FQ";"08";"Demanding diagnostic procedure of musculosceletal system, short therapy";"Dem dx proc of musculosceletal system, short ther";F;2004/08/09;"908Q"
"908FR";"08";"Intravenous immunglobulin treatement of connective tissue disorders, short therapy";"I.v. immunglob treat of conn tiss disorders, short therapy";F;2004/08/16;"908FR"
"908NP";"08";"Other one day care for MDC 08";"Other one day care for MDC 08";F;2009/07/20;"908NP"
"908NR";"08";"Orthopaedic diagnostic ultrasound, short therapy";"Orthopaedic diagnostic ultrasound, short therapy";F;2007/11/14;"908R"
"908O";"08";"Disease or disorder of the musculosceletal system, short therapy w/o significant procedure";"Disease or disorder of the musculosceletal system, sh th";T;2004/11/09;"908O"
"908V";"23";"Information and education, short therapy";"Information and education, short therapy";F;2007/09/05;"908O"
"909FA";"09";"Malignancy of skin and subcutaneous tissue, radiation therapy, short therapy";"Malign of skin, rad ther, sh th";F;2006/01/17;"909A"
"909FB";"09";"Malignancy of skin and subcutaneous tissue, cytostatic therapy, short therapy";"Malign of skin, cytost ther, sh th";F;2006/01/17;"909B"
"909FC";"09";"Malignancy of skin and subcutaneous tissue, demanding cytostatic therapy, short therapy";"Malign of skin, dem cytost ther, sh th";F;2006/01/17;"909C"
"909FD";"09";"Malignancy of skin and subcutaneous tissue, special demanding cytostatic therapy, short therapy";"Malign of skin, spec dem cytost ther, sh th";F;2006/01/17;"909D"
"909FE";"09";"Disease or disorder of skin and subcutaneous tissue, special medical therapy, short therapy";"Dis/disord of skin & sudcut, spec med ther, sh th";F;2006/01/17;"909E"
"909FF";"09";"Disease or disorder of skin and subcutaneous tissue, demanding medical therapy, short therapy";"Dis/disord of skin & sudcut, dem med ther, sh th";F;2006/01/17;"909F"
"909NP";"09";"Other one day care for MDC 09";"Other one day care for MDC 09";F;2009/07/20;"909NP"
"909O";"09";"Disease or disorder of the skin and subcutaneous tissue system, short therapy w/o significant procedure";"Disease or disorder of the skin and subcut tiss syst, sh th";T;2004/08/18;"909O"
"909V";"23";"Picture and sound recording, short therapy";"Picture and sound recording, short therapy";F;2007/09/05;"909O"
"910FA";"10";"Endocrine malignancy, radiation therapy, short therapy";"Endocr malign, rad ther, sh th";F;2006/01/17;"910A"
"910FB";"10";"Endocrine malignancy, sterotactic or isotope radiation therapy, short therapy";"Endocr malign, ster/isotope rad ther, sh th";F;2006/01/17;"910B"
"910FC";"10";"Endocrine malignancy, demanding isotope therapy, short therapy";"Endocr malign, dem isot ther, sh th";F;2006/01/17;"910C"
"910FD";"10";"Endocrine malignancy, cytostatic therapy, short therapy";"Endocr malign, cytost ther, sh th";F;2006/01/17;"910D"
"910FE";"10";"Endocrine malignancy, demanding cytostatic therapy, short therapy";"Endocr malign, dem cytost ther, sh th";F;2006/01/17;"910E"
"910FF";"10";"Endocrine malignancy, special demanding cytostatic therapy, short therapy";"Endocr malign, spec dem cytost ther, sh th";F;2006/01/17;"910F"
"910FI";"10";"Endocrine, nutritional and metabolic disease or disorder, special demanding medical therapy, short therapy";"Enocr/nutr/metab dis/disord, spec dem med ther, sh th";F;2006/01/17;"910I"
"910FP";"10";"Diagnostic investigation of endocrine system, short therapy";"Diagnostic investigation of endocrine system, short therapy";F;2004/08/09;"910P"
"910NP";"10";"Other one day care for MDC 10";"Other one day care for MDC 10";F;2009/07/20;"910NP"
"910O";"10";"Endocrine, nutritional and metabolic disease or disorder, short therapy w/o significant procedure";"Endocr, nutr and metab disease or disorder, sh th";T;2004/11/09;"910O"
"910V";"23";"Pharmacologic test of pain reaction, short therapy";"Pharmacologic test of pain reaction, short therapy";F;2008/05/20;"910O"
"910W";"23";"Sensoric test of pain reaction, short therapy";"Sensoric test of pain reaction, short therapy";F;2008/05/20;"910P"
"911FA";"11";"Malignancy of kidney and urinary tract, radiation therapy, short therapy";"Malign of kidn & urin tract, rad ther, sh th";F;2006/01/17;"911A"
"911FB";"11";"Malignancy of kidney and urinary tract, cytostatic therapy, short therapy";"Malign of kidn & urin tract, cyt ther, sh th";F;2006/01/17;"911B"
"911FC";"11";"Malignancy of kidney and urinary tract, demanding cytostatic therapy, short therapy";"Malign of kidn & urin tract, dem cyt ther, sh th";F;2006/01/17;"911C"
"911FD";"11";"Malignancy of kidney and urinary tract, special demanding cytostatic therapy, short therapy";"Malign of kidn & urin tract, spec dem cyt ther, sh th";F;2006/01/17;"911D"
"911FE";"11";"Disease or disorder of kidney or urinary tract, special medical therapy, short therapy";"Dis/disord of kidney/urin tract, spec med ther, sh th";F;2006/01/17;"911E"
"911FG";"11";"Disease or disorder of kidney or urinary tract, special demanding medical therapy, short therapy";"Dis/disord of kidney/urin tract, spec dem med ther, sh th";F;2007/11/13;"911G"
"911NP";"11";"Other one day care for MDC 11";"Other one day care for MDC 11";F;2009/07/20;"911NP"
"911O";"11";"Disease or disorder of the kidney and urinary tract, short therapy w/o significant procedure";"Disease or disorder of the kidney and urinary tract, sh th";T;2009/07/20;"911O"
"911V";"23";"Medication pump, short therapy";"Medication pump, short therapy";F;2007/09/05;"911O"
"912FA";"12";"Malignancy of male reproductive system, radiation therapy, short therapy";"Malign of male reprod syst, rad ther, sh th";F;2006/01/17;"912A"
"912FB";"12";"Malignancy of male reproductive system, cytostatic therapy, short therapy";"Malign of male reprod syst, cytost ther, sh th";F;2006/01/17;"912B"
"912FC";"12";"Malignancy of male reproductive system, demanding cytostatic therapy, short therapy";"Malign of male reprod syst, dem cytost ther, sh th";F;2006/01/17;"912C"
"912FD";"12";"Malignancy of male reproductive system, spec demanding cytostatic therapy, short therapy";"Malign of male reprod syst, spec dem cytost ther, sh th";F;2006/01/17;"912D"
"912FE";"12";"Disease or disorder of male reproductive system, special medcial therapy, short therapy";"Dis/disord of male reprod syst, spec med ther, sh th";F;2006/01/17;"912E"
"912FF";"12";"Disease or disorder of male reproductive system, demanding medcial therapy, short therapy";"Dis/disord of male reprod syst, dem med ther, sh th";F;2006/01/17;"912F"
"912FG";"12";"Disease or disorder of male reproductive system, special demanding medcial therapy, short therapy";"Dis/disord of male reprod syst, spec dem med ther, sh th";F;2007/11/13;"912G"
"912NP";"12";"Other one day care for MDC 12";"Other one day care for MDC 12";F;2009/07/20;"912NP"
"912O";"12";"Disease or disorder of the male reproductive system, short therapy w/o significant procedure";"Disease or disorder of the male reproductive system, sh th";T;2003/05/26;"912O"
"912V";"23";"Other major intervention for medication, short therapy";"Other major intervention for medication, short therapy";F;2007/09/05;"912O"
"913FA";"13";"Malignancy of female reproductive system, radiation therapy, short therapy";"Malign of female reprod syst, rad ther, sh th";F;2006/01/17;"913A"
"913FB";"13";"Malignancy of female reproductive system, cytostat therapy, short therapy";"Malign of female reprod syst, cytost ther, sh th";F;2006/01/17;"913B"
"913FC";"13";"Malignancy of female reproductive system, demanding cytostat therapy, short therapy";"Malign of female reprod syst, dem cytost ther, sh th";F;2006/01/17;"913C"
"913FD";"13";"Malignancy of female reproductive system, special demanding cytostat therapy, short therapy";"Malign of female reprod syst, spec dem cytost ther, sh th";F;2006/01/17;"913D"
"913NP";"13";"Other one day care for MDC 13";"Other one day care for MDC 13";F;2009/07/20;"913NP"
"913O";"13";"Disease or disorder of the female reproductive system, short therapy w/o significant procedure";"Disease or disorder of the female reprod syst, sh th";T;2003/05/26;"913O"
"913V";"23";"Arterial cathetrisation, short therapy";"Arterial cathetrisation, short therapy";F;2007/09/05;"913O"
"914FP";"14";"Diagnostic obstetric investigation, short therapy";"Diagnostic obstetric investigation, short therapy";F;2004/08/09;"914P"
"914NP";"14";"Other one day care for MDC 14";"Other one day care for MDC 14";F;2009/07/20;"914NP"
"914O";"14";"Pregnancy, childbirth and puerperium, short therapy w/o significant procedure";"Pregnancy, childbirth and puerperium, sh th";T;2003/05/23;"914O"
"914V";"23";"Minor intervention for medication, short therapy";"Minor intervention for medication, short therapy";F;2007/09/05;"914O"
"915NP";"15";"Other one day care for MDC 15";"Other one day care for MDC 15";F;2009/07/20;"915NP"
